,,test_error,test_error,test_error,best_test_error,best_test_error
,,mean,std,count,mean,std
clean_ratio,lambda,,,,,
0.01,0.0,0.6001,0.0163,3,0.5408,0.021
0.01,0.2,0.808,0.0924,3,0.8036,0.0926
0.01,0.3,0.8495,0.0875,3,0.8181,0.0604
0.01,0.4,0.9,0.0,3,0.895,0.0076
0.01,0.6,0.8801,0.0345,3,0.8683,0.0401
0.05,0.0,0.6001,0.0163,3,0.5408,0.021
0.05,0.2,0.7969,0.0907,3,0.7763,0.0558
0.05,0.3,0.7951,0.0201,3,0.7906,0.024
0.05,0.4,0.8594,0.0703,3,0.8466,0.0622
0.05,0.6,0.9,0.0,3,0.8821,0.016
0.1,0.0,0.6001,0.0163,3,0.5408,0.021
0.1,0.2,0.7218,0.1054,3,0.7218,0.1054
0.1,0.3,0.7299,0.0686,3,0.7299,0.0686
0.1,0.4,0.9,0.0,3,0.8584,0.0271
0.1,0.6,0.9,0.0,3,0.8953,0.0079
