experiment_id,lambda,seed,final_error,avg_cos,phase,time
S2d-180,0.5,180,0.5744,-0.036151667921346546,collapsed,614.6221144199371
S2d-181,0.5,181,0.2118,-0.026075306736744762,intermediate,618.4003159999847
S2d-182,0.5,182,0.21960000000000002,-0.02131470654555805,intermediate,621.8944139480591
S2d-183,0.5,183,0.26990000000000003,-0.03624554555973024,intermediate,622.8059647083282
S2d-184,0.5,184,0.24039999999999995,-0.03329564079618538,intermediate,622.7151486873627
S2d-185,0.5,185,0.36639999999999995,-0.033434258115974405,intermediate,621.869106054306
S2d-186,0.5,186,0.2732,-0.01919038826508248,intermediate,631.4345407485962
S2d-187,0.5,187,0.24829999999999997,-0.02422157851111961,intermediate,627.5901381969452
S2d-188,0.5,188,0.1904,-0.09967090864204302,ordered,622.5517911911011
S2d-189,0.5,189,0.27880000000000005,-0.041629018228859234,intermediate,617.7641875743866
S2d-190,0.5,190,0.17769999999999997,-0.09604509690273981,ordered,616.576409816742
S2d-191,0.5,191,0.30600000000000005,-0.02328719025279979,intermediate,614.5666499137878
S2d-192,0.5,192,0.3124,-0.01816430867872942,intermediate,614.4586403369904
S2d-193,0.5,193,0.3145,-0.017079680123780996,intermediate,614.0633165836334
S2d-194,0.5,194,0.609,-0.04527219291094558,collapsed,614.285852432251
S2d-195,0.5,195,0.35019999999999996,-0.0050173281586184905,intermediate,615.122661113739
S2d-196,0.5,196,0.374,-0.01512851056943372,intermediate,617.6514286994934
S2d-197,0.5,197,0.2744,-0.031027577200278458,intermediate,617.0198724269867
S2d-198,0.5,198,0.41379999999999995,-0.016393691615551376,collapsed,614.1295742988586
S2d-199,0.5,199,0.4949,-0.032698846780754416,collapsed,613.636039018631
S2d-200,0.5,200,0.38670000000000004,0.0021021651600877157,intermediate,613.4625165462494
S2d-201,0.5,201,0.9,0.04945934064383381,collapsed,612.9274632930756
S2d-202,0.5,202,0.2792,-0.015339379771269574,intermediate,612.5941944122314
S2d-203,0.5,203,0.4494,-0.03507584738881893,collapsed,613.0922446250916
S2d-204,0.5,204,0.2349,-0.028826113316781074,intermediate,623.3343868255615
S2d-205,0.5,205,0.22660000000000002,-0.020156778265877712,intermediate,616.6276252269745
S2d-206,0.5,206,0.5358,-0.06914627990348036,collapsed,612.6534361839294
S2d-207,0.5,207,0.30900000000000005,-0.042202739115113665,intermediate,611.8712542057037
S2d-208,0.5,208,0.3688,-0.027337819776225753,intermediate,612.5586869716644
S2d-209,0.5,209,0.35009999999999997,-0.004566509029611218,intermediate,612.4133796691895
S2d-210,0.5,210,0.2732,-0.03042236115810775,intermediate,612.1167666912079
S2d-211,0.5,211,0.3379,-0.03075505997015672,intermediate,612.4802801609039
S2d-212,0.5,212,0.351,-0.020157434353581152,intermediate,612.1621091365814
S2d-213,0.5,213,0.2229,-0.047211208501468385,intermediate,611.9810228347778
S2d-214,0.5,214,0.29669999999999996,-0.026575778082790612,intermediate,612.0842626094818
S2d-215,0.5,215,0.42689999999999995,-0.02850196403575995,collapsed,612.2259473800659
S2d-216,0.5,216,0.2047,-0.06046531954738049,intermediate,611.5707595348358
S2d-217,0.5,217,0.2349,-0.036494844293834205,intermediate,611.5484161376953
S2d-218,0.5,218,0.4181,-0.01515877646139861,collapsed,611.7165188789368
S2d-219,0.5,219,0.23770000000000002,-0.02504564476168266,intermediate,611.0559458732605
S2d-220,0.5,220,0.30820000000000003,-0.014030692998307387,intermediate,611.4940061569214
S2d-221,0.5,221,0.3889,-0.03946798468782265,intermediate,611.8038289546967
S2d-222,0.5,222,0.24429999999999996,-0.06835246840611277,intermediate,618.7960109710693
S2d-223,0.5,223,0.2692,-0.03275244731078286,intermediate,614.4507865905762
S2d-224,0.5,224,0.3166,-0.04293683636534427,intermediate,611.6174092292786
S2d-225,0.5,225,0.27470000000000006,-0.02739349160458636,intermediate,611.6617584228516
S2d-226,0.5,226,0.2773,-0.031980761839762895,intermediate,615.0822525024414
S2d-227,0.5,227,0.2108,-0.07064857632036996,intermediate,618.4443943500519
S2d-228,0.5,228,0.5657,-0.0290429535573194,collapsed,618.0061678886414
S2d-229,0.5,229,0.24619999999999997,-0.026259780661235636,intermediate,617.098837852478
S2d-230,0.5,230,0.5812999999999999,-0.059314680304633674,collapsed,617.6529397964478
S2d-231,0.5,231,0.33009999999999995,-0.04407824917330986,intermediate,614.9955334663391
S2d-232,0.5,232,0.20599999999999996,-0.026621912002485665,intermediate,617.7020466327667
S2d-233,0.5,233,0.23950000000000005,-0.05263154944266271,intermediate,620.5419633388519
S2d-234,0.5,234,0.3247,0.005243689061397312,intermediate,618.6703128814697
S2d-235,0.5,235,0.272,-0.013753598540984522,intermediate,617.7078082561493
S2d-236,0.5,236,0.37849999999999995,-0.041472663134719576,intermediate,617.6343121528625
S2d-237,0.5,237,0.21760000000000002,-0.06320710137807194,intermediate,618.6196403503418
S2d-238,0.5,238,0.34099999999999997,-0.008366294784830143,intermediate,618.7073547840118
S2d-239,0.5,239,0.2602,-0.0665035768009708,intermediate,618.0060911178589
