seed,init_error,init_success,lifetime,censored,final_error,experiment_id,target_lambda,eta,time
0,0.2338,True,150,True,0.10160000000000002,T1a-000,0.46,0.4,1401.0573308467865
1,0.24880000000000002,True,150,True,0.1058,T1a-001,0.46,0.4,1400.6791315078735
2,0.21309999999999996,True,150,True,0.10209999999999997,T1a-002,0.46,0.4,1411.232537984848
3,0.23109999999999997,True,150,True,0.10809999999999997,T1a-003,0.46,0.4,1404.1623401641846
4,0.2349,True,150,True,0.10450000000000004,T1a-004,0.46,0.4,1403.4875390529633
5,0.24129999999999996,True,150,True,0.10840000000000005,T1a-005,0.46,0.4,1402.8223669528961
6,0.2459,True,150,True,0.1028,T1a-006,0.46,0.4,1404.5731887817383
7,0.24409999999999998,True,150,True,0.10099999999999998,T1a-007,0.46,0.4,1409.9476039409637
8,0.2653,True,150,True,0.1018,T1a-008,0.46,0.4,1411.0428059101105
9,0.26160000000000005,True,150,True,0.10240000000000005,T1a-009,0.46,0.4,1406.4549753665924
10,0.22330000000000005,True,150,True,0.10019999999999996,T1a-010,0.46,0.4,1403.1075773239136
11,0.24670000000000003,True,150,True,0.10399999999999998,T1a-011,0.46,0.4,1401.769657611847
12,0.2289,True,150,True,0.10940000000000005,T1a-012,0.46,0.4,1400.4320080280304
13,0.245,True,150,True,0.10289999999999999,T1a-013,0.46,0.4,1414.46089053154
14,0.23839999999999995,True,150,True,0.10389999999999999,T1a-014,0.46,0.4,1408.555022239685
15,0.24339999999999995,True,150,True,0.10619999999999996,T1a-015,0.46,0.4,1404.460364818573
16,0.27359999999999995,True,150,True,0.10260000000000002,T1a-016,0.46,0.4,1407.7083368301392
17,0.23819999999999997,True,150,True,0.10270000000000001,T1a-017,0.46,0.4,1407.1139240264893
18,0.2579,True,150,True,0.10050000000000003,T1a-018,0.46,0.4,1422.9942712783813
19,0.23929999999999996,True,150,True,0.10870000000000002,T1a-019,0.46,0.4,1429.340520620346
20,0.28890000000000005,True,150,True,0.10470000000000002,T1a-020,0.46,0.4,1439.8449625968933
21,0.2502,True,150,True,0.10240000000000005,T1a-021,0.46,0.4,1433.106951713562
22,0.24829999999999997,True,150,True,0.10770000000000002,T1a-022,0.46,0.4,1429.731976032257
23,0.23329999999999995,True,150,True,0.10729999999999995,T1a-023,0.46,0.4,1429.2303409576416
24,0.22089999999999999,True,150,True,0.10650000000000004,T1a-024,0.46,0.4,1430.1501858234406
25,0.28369999999999995,True,150,True,0.10409999999999997,T1a-025,0.46,0.4,1431.7949268817902
26,0.23429999999999995,True,150,True,0.10409999999999997,T1a-026,0.46,0.4,1438.5053627490997
27,0.24060000000000004,True,150,True,0.10409999999999997,T1a-027,0.46,0.4,1431.8419415950775
28,0.24609999999999999,True,150,True,0.10229999999999995,T1a-028,0.46,0.4,1428.3084514141083
29,0.21740000000000004,True,150,True,0.09970000000000001,T1a-029,0.46,0.4,1430.4123182296753
30,0.21919999999999995,True,150,True,0.10209999999999997,T1a-030,0.46,0.4,1430.6691074371338
31,0.253,True,150,True,0.10299999999999998,T1a-031,0.46,0.4,1429.9764330387115
32,0.26339999999999997,True,150,True,0.0978,T1a-032,0.46,0.4,1435.9949932098389
33,0.23609999999999998,True,150,True,0.10440000000000005,T1a-033,0.46,0.4,1428.5622220039368
34,0.22509999999999997,True,150,True,0.10540000000000005,T1a-034,0.46,0.4,1427.9137983322144
35,0.28159999999999996,True,150,True,0.0998,T1a-035,0.46,0.4,1423.4151320457458
36,0.26970000000000005,True,150,True,0.10270000000000001,T1a-036,0.46,0.4,1424.59033036232
37,0.2378,True,150,True,0.10170000000000001,T1a-037,0.46,0.4,1426.0475039482117
38,0.2834,True,150,True,0.10270000000000001,T1a-038,0.46,0.4,1430.5127382278442
39,0.2237,True,150,True,0.10350000000000004,T1a-039,0.46,0.4,1423.8877139091492
40,0.23029999999999995,True,150,True,0.10040000000000004,T1a-040,0.46,0.4,1422.148803949356
41,0.23529999999999995,True,150,True,0.10440000000000005,T1a-041,0.46,0.4,1422.5362086296082
42,0.25229999999999997,True,150,True,0.09909999999999997,T1a-042,0.46,0.4,1424.8135163784027
43,0.2694,True,150,True,0.10160000000000002,T1a-043,0.46,0.4,1425.8914785385132
44,0.25460000000000005,True,150,True,0.10429999999999995,T1a-044,0.46,0.4,1435.6078855991364
45,0.25749999999999995,True,150,True,0.10319999999999996,T1a-045,0.46,0.4,1430.0651812553406
46,0.29290000000000005,True,150,True,0.10270000000000001,T1a-046,0.46,0.4,1416.9253656864166
47,0.2943,True,150,True,0.10499999999999998,T1a-047,0.46,0.4,1410.8291130065918
48,0.2398,True,150,True,0.10440000000000005,T1a-048,0.46,0.4,1410.3028934001923
49,0.3496,False,0,False,0.3496,T1a-049,0.46,0.4,327.4090881347656
