seed,init_error,init_success,lambda_up,collapsed,final_lambda,final_error,experiment_id,eta,time
0,0.2338,True,,False,0.7,0.09670000000000001,T1-spinodal-000,0.4,857.5498514175415
1,0.24880000000000002,True,,False,0.7,0.1008,T1-spinodal-001,0.4,859.0741014480591
2,0.21309999999999996,True,,False,0.7,0.09830000000000005,T1-spinodal-002,0.4,862.0052518844604
3,0.23109999999999997,True,,False,0.7,0.1028,T1-spinodal-003,0.4,870.2959313392639
4,0.2349,True,,False,0.7,0.0998,T1-spinodal-004,0.4,863.3366918563843
5,0.24129999999999996,True,,False,0.7,0.1049,T1-spinodal-005,0.4,863.1292810440063
6,0.2459,True,,False,0.7,0.10060000000000002,T1-spinodal-006,0.4,860.8603901863098
7,0.24409999999999998,True,,False,0.7,0.09989999999999999,T1-spinodal-007,0.4,861.4433982372284
8,0.2653,True,,False,0.7,0.09860000000000002,T1-spinodal-008,0.4,861.9735896587372
9,0.26160000000000005,True,,False,0.7,0.09750000000000003,T1-spinodal-009,0.4,860.4408411979675
