seed,trap_error,intervention,lambda,lr_mult,final_error,improvement,escaped
1,0.9,baseline,0.6,0.01,0.9,0.0,False
1,0.9,lambda_zero,0.0,0.01,0.9,0.0,False
1,0.9,lambda_low,0.2,0.01,0.9,0.0,False
1,0.9,lr_boost,0.6,0.1,0.9,0.0,False
1,0.9,lr_boost_high,0.6,1.0,0.9,0.0,False
1,0.9,combined,0.0,0.1,0.9,0.0,False
5,0.9,baseline,0.6,0.01,0.9,0.0,False
5,0.9,lambda_zero,0.0,0.01,0.9,0.0,False
5,0.9,lambda_low,0.2,0.01,0.9,0.0,False
5,0.9,lr_boost,0.6,0.1,0.9,0.0,False
5,0.9,lr_boost_high,0.6,1.0,0.9,0.0,False
5,0.9,combined,0.0,0.1,0.9,0.0,False
6,0.9,baseline,0.6,0.01,0.9,0.0,False
6,0.9,lambda_zero,0.0,0.01,0.9,0.0,False
6,0.9,lambda_low,0.2,0.01,0.9,0.0,False
6,0.9,lr_boost,0.6,0.1,0.9,0.0,False
6,0.9,lr_boost_high,0.6,1.0,0.9,0.0,False
6,0.9,combined,0.0,0.1,0.9,0.0,False
