label,n,R2,beta1,beta1_p,beta2,beta2_p,beta3,beta3_p
Overall,7200,0.7468039581517809,0.21674134926602387,0.0,0.09430016363122061,0.0,-0.10158883357922811,0.0
noise=0.0,1200,0.7745477397396653,0.21844978626568184,3.463091205160417e-234,0.09942483417583327,8.007747910102097e-70,-0.09298307919078748,3.968966472865328e-70
noise=0.1,1200,0.8111606051110422,0.23323780890755325,1.0276015018598579e-269,0.09217422708421114,4.205197388118401e-66,-0.09979450607124085,1.520591044150995e-87
noise=0.2,1200,0.8133431548052066,0.23985672402316355,1.0768841281995592e-282,0.07800153308801792,8.090169632884055e-50,-0.10635678886233357,7.514781685737402e-105
noise=0.3,1200,0.805556303328904,0.2432385133350546,5.360416455717946e-284,0.06675531562231098,8.634434520322727e-38,-0.12089273998199104,2.4363765678104196e-138
noise=0.4,1200,0.7971682418248374,0.2578644017635904,2.533126356280814e-286,0.05723751910423167,2.9838774753329315e-29,-0.1415660779377904,8.965297693266712e-176
noise=0.5,1200,0.793026250215906,0.282888392420963,1.4829896574085373e-287,0.04618581889018495,7.961488665700642e-21,-0.16074675609046757,3.7292258847000036e-195
λ=0.0,2400,0.2326841121818899,0.03869182985952002,5.336459300053451e-140,-2.220446049250313e-16,0.9999999999998765,3.8163916471489756e-17,0.9999999999999788
λ=0.5,2400,0.8956261408566094,0.11147249020963647,2.2676795970582215e-139,0.16067813917268703,1.2322554029719536e-307,-0.07855958871500468,5.818402708108267e-150
λ=1.0,2400,0.8758419838124145,0.15709952760765247,3.607827822347644e-27,0.19651131720835632,1.2653987515784998e-107,-0.013235323311129213,0.18275845313693342
