center_scale,noise_std,snr,train_acc,test_acc,test_std,in_target
1.0,1.0,1.0,0.3408999939759572,0.33159999052683514,0.0019612999659001356,False
1.0,1.5,0.6666666666666666,0.24634999533494314,0.2286666582028071,0.001575508316369218,False
1.0,2.0,0.5,0.2058666596810023,0.18466666340827942,0.0005312427530327568,False
1.0,2.5,0.4,0.18533332645893097,0.1625666618347168,0.0007363577242077748,False
1.0,3.0,0.3333333333333333,0.17446666459242502,0.14833333094914755,0.0013199364369811926,False
1.5,1.0,1.5,0.5092666347821554,0.4994666377703349,0.0013523564702233961,False
1.5,1.5,1.0,0.34293332695961,0.3295999864737193,0.0010984770766562224,False
1.5,2.0,0.75,0.27061665058135986,0.25103333095709485,0.0019396416819145149,False
1.5,2.5,0.6,0.23128332694371542,0.21066666146119437,0.001357289305444127,False
1.5,3.0,0.5,0.2100666562716166,0.18569999436537424,0.0009899476865652434,False
2.0,1.0,2.0,0.675683339436849,0.6667333245277405,0.002154587262044169,False
2.0,1.5,1.3333333333333333,0.4529333213965098,0.43993330995241803,0.0011440676624979913,False
2.0,2.0,1.0,0.34469998876253766,0.328766663869222,0.0009977789182008987,False
2.0,2.5,0.8,0.287366658449173,0.2643999954064687,0.001766344954646369,False
2.0,3.0,0.6666666666666666,0.25093333919843036,0.22599999606609344,0.002160251277334755,False
2.5,1.0,2.5,0.812499980131785,0.7989999850591024,0.00042427827500966656,True
2.5,1.5,1.6666666666666667,0.5686999758084615,0.5553999940554301,0.0004082430346708217,False
2.5,2.0,1.25,0.4257333179314931,0.41126665472984314,0.0011115510463056868,False
2.5,2.5,1.0,0.3466999928156535,0.32829998930295307,0.0013638237743456801,False
2.5,3.0,0.8333333333333334,0.29876665274302167,0.2734666665395101,0.0009977789182008987,False
3.0,1.0,3.0,0.9071666598320007,0.8986333211263021,0.0004496819280242065,False
3.0,1.5,2.0,0.6774999896685282,0.667199969291687,0.0029223334555630196,False
3.0,2.0,1.5,0.5135833223660787,0.49763330817222595,0.0013888436342288917,False
3.0,2.5,1.2,0.4100499947865804,0.39416664838790894,0.0014704536149630527,False
3.0,3.0,1.0,0.34834998846054077,0.3270999888579051,0.0016391083445871577,False
