w_magnitude,epsilon_anisotropic,epsilon_isotropic
0.0,4.998668146072305e-11,4.998668146072305e-11
0.025,0.010880309219009593,5.000229397200684e-11
0.05,0.021760618488005867,5.0049187017009444e-11
0.07500000000000001,0.0326409277570022,5.0127277329004016e-11
0.1,0.043521237025998416,5.023660654135398e-11
0.125,0.05440154629499472,5.0377216287422755e-11
0.15000000000000002,0.06528185556399105,5.0549037178271305e-11
0.17500000000000002,0.07616216483298724,5.0752096969475247e-11
0.2,0.08704247410198357,5.0986409538822386e-11
0.225,0.09792278337097984,5.1251974886312723e-11
0.25,0.10880309263997612,5.1548765256370643e-11
0.275,0.11968340190897245,5.187680840457176e-11
0.30000000000000004,0.13056371117796872,5.223607657534046e-11
0.325,0.14144402044696494,5.262659752425236e-11
0.35000000000000003,0.15232432971596127,5.304837125130746e-11
0.375,0.1632046389849575,5.350137000093014e-11
0.4,0.17408494825395382,5.3985621528696015e-11
0.42500000000000004,0.18496525752295007,5.4501098079029475e-11
0.45,0.19584556679194637,5.5047827407506134e-11
0.47500000000000003,0.20672587606094261,5.5625781758550374e-11
0.5,0.21760618532993886,5.6235044398889045e-11
0.525,0.22848649459893516,5.6875476550644066e-11
0.55,0.23936680386793147,5.754713372496667e-11
0.5750000000000001,0.25024711313692777,5.825012694415932e-11
0.6000000000000001,0.2611274224059241,5.898431743034394e-11
0.625,0.2720077316749203,5.974973293909613e-11
0.65,0.28288804094391656,6.054640122599153e-11
0.675,0.2937683502129128,6.137429453545451e-11
0.7000000000000001,0.3046486594819091,6.223341286748507e-11
0.7250000000000001,0.31552896875090547,6.312381173323445e-11
0.75,0.32640927801990177,6.404546337712702e-11
0.775,0.3372895872888979,6.499831228801156e-11
0.8,0.3481698965578942,6.598244173261492e-11
0.8250000000000001,0.3590502058268907,6.699776844421024e-11
0.8500000000000001,0.3699305150958868,6.804434793394876e-11
0.875,0.3808108243648831,6.912218020183047e-11
0.9,0.3916911336338794,7.023132075900662e-11
0.925,0.40257144290287544,7.13716030720235e-11
0.9500000000000001,0.4134517521718718,7.25431659187592e-11
0.9750000000000001,0.4243320614408681,7.37459815436381e-11
1.0,0.4352123707098645,7.498002219108457e-11
