seed,kappa,method,max_diff
0,10,sgd,0.0013912553550133038
0,100,sgd,0.01530380890514634
0,1000,sgd,0.1544293444064767
0,10,exact,1.4789025852470633e-16
0,100,exact,5.749610856864429e-14
0,1000,exact,8.854621517343647e-11
0,10,kfac,6.819631664933823e-17
0,100,kfac,5.406721077794163e-14
0,1000,kfac,1.5651090937585793e-10
0,10,empirical,1.1436532974709156e-16
0,100,empirical,8.781346418247626e-15
0,1000,empirical,6.47622771518053e-11
1,10,sgd,0.0014539233507527252
1,100,sgd,0.015993156858279973
1,1000,sgd,0.16138549193355242
1,10,exact,1.207801220148852e-16
1,100,exact,8.532746991612994e-14
1,1000,exact,7.022257937899096e-11
1,10,kfac,4.347650711666873e-17
1,100,kfac,6.489347091371417e-14
1,1000,kfac,9.282217659431491e-11
1,10,empirical,4.185020385794047e-17
1,100,empirical,1.522699609630973e-14
1,1000,empirical,4.4856707392027136e-11
2,10,sgd,0.0012987885529804353
2,100,sgd,0.014286674082784787
2,1000,sgd,0.1441655293808283
2,10,exact,9.313296661650483e-17
2,100,exact,3.465511298067492e-14
2,1000,exact,7.834886618608358e-11
2,10,kfac,9.427137889761461e-17
2,100,kfac,6.862449519230707e-14
2,1000,kfac,6.732451559134447e-11
2,10,empirical,3.108949729602184e-17
2,100,empirical,3.606376265327671e-14
2,1000,empirical,7.717995757468635e-12
